slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,22.0,-8.5,1e-05,9089671.826328445,1e-05,500796.3390177797,4178.600001730834,7357004449647062.0,0.0,0.0,2.320104923240698e+18,0.0,0.0,0.0025160005251709974,0.006102550859362311,0.0013255474742222603,0.0
100.0,22.0,-8.5,1000.0,9088671.826338446,47.19097569164597,824578.3803036133,4463.3678173689295,2.669860367006092e+19,0.0,0.0,3.973325203499886e+28,0.0,0.0,0.002516000525170997,0.006102550859362312,0.00132554747422226,0.0
101.0,22.0,-8.5,1056.6291708299752,9088615.197167616,56.62917082997515,836728.5772498666,4110.392267608679,2.031057812817782e+19,0.0,0.0,7.600505095014237e+28,0.0,0.0,0.0024889953125840666,0.00608349462198394,0.0012321516160785182,1e-99
102.0,22.0,-8.5,1116.0898002014492,9088555.736538244,59.460629371473914,850148.1867052355,4111.827420858895,2.6670116088003736e+19,0.0,0.0,1.2601553001020415e+29,0.0,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785184,9.158430503603219e-100
103.0,22.0,-8.5,1178.5234610414968,9088493.302877404,62.43366084004761,864811.7784055837,4116.352264661533,3.4436261922158023e+19,0.0,0.0,1.9381735912809465e+29,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785184,1.0046780106431647e-99
104.0,22.0,-8.5,1239.4676718198953,9088432.358666627,60.944210778398386,878966.9722385487,4119.5551965238965,4.363774294410557e+19,0.0,0.0,2.776863357912271e+29,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785186,7.404901549479454e-100
105.0,22.0,-8.5,1303.4590931372136,9088368.367245309,63.991421317318306,894332.1823830216,4124.361284994353,5.544873383870998e+19,0.0,0.0,3.895837361400353e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.017025014592338e-99
106.0,22.0,-8.5,1370.6500855203979,9088301.176252926,67.19099238318422,911078.2359179856,4129.536495221731,7.089947370089842e+19,0.0,0.0,5.398151220743204e+29,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785184,1.0170250145923376e-99
107.0,22.0,-8.5,1435.287612001636,9088236.538726443,64.63752648123827,927798.1131675187,4133.560821360372,8.959405296757477e+19,0.0,0.0,7.224444491357574e+29,0.0,0.0,0.002488995312584066,0.006083494621983939,0.0012321516160785184,1.0170250145923378e-99
108.0,22.0,-8.5,1498.9160830880746,9088172.910255358,63.62847108643859,944891.7471857826,4137.035063976032,1.1283405680196742e+20,0.0,0.0,9.488558530473767e+29,0.0,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785186,1.0170250145923378e-99
