slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,18.0,-10.0,1e-05,11510835.830778724,1e-05,545057.6605389512,4222.55255433503,3.1687369297530504e+16,0.0,0.0,0.0,9.99292878166922e+18,0.0,0.0,0.0025160005251709974,0.006102550859362312,0.00132554747422226,0.0
94.0,18.0,-10.0,1000.0,11509835.830788724,8.174536071361466,806427.0329997039,4460.930469793806,1.9869510662560686e+19,0.0,0.0,0.0,5.122204271520872e+27,0.0,0.0,0.002516000525170997,0.006102550859362312,0.0013255474742222605,0.0
95.0,18.0,-10.0,1009.8094432856338,11509826.021345438,9.809443285633758,807892.4412354649,4103.298783508689,3.6097906944760054e+18,0.0,0.0,0.0,6.238895201205961e+27,0.0,0.0,0.002488995312584066,0.006083494621983943,0.0012321516160785184,1.0000000000000002e-99
96.0,18.0,-10.0,1020.1093587355492,11509815.721429989,10.29991544991545,809743.4174384279,4101.057027092673,3.7222840991902746e+18,0.0,0.0,0.0,7.447960575140114e+27,0.0,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785182,5.871412273964176e-100
97.0,18.0,-10.0,1030.9242699579604,11509804.906518767,10.814911222411222,811359.549946579,4101.614010858586,3.8420457001134833e+18,0.0,0.0,0.0,8.758324994447828e+27,0.0,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785184,8.391973952844808e-100
98.0,18.0,-10.0,1042.279926741492,11509793.550861983,11.355656783531783,813061.4573621068,4102.138192247624,3.9715016693113615e+18,0.0,0.0,0.0,1.0180567369768803e+28,0.0,0.0,0.0024889953125840658,0.006083494621983942,0.0012321516160785182,1.120883827460949e-99
99.0,18.0,-10.0,1054.2033663642005,11509781.62742236,11.923439622708374,814851.0137413574,4102.900272721728,4.111863490787482e+18,0.0,0.0,0.0,1.1726700377967834e+28,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.120883827460949e-99
100.0,18.0,-10.0,1066.7229779680445,11509769.107810756,12.519611603843794,816732.8349063266,4103.860886766077,4.264309002536262e+18,0.0,0.0,0.0,1.3410328340518422e+28,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.120883827460949e-99
101.0,18.0,-10.0,1079.8685701520803,11509755.962218571,13.145592184035984,818712.3958034308,4104.867739281458,4.430184992209503e+18,0.0,0.0,0.0,1.5246903151139707e+28,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.1208838274609492e-99
102.0,18.0,-10.0,1093.671441945318,11509742.159346778,13.802871793237784,820795.0173915052,4105.923837942909,4.6109740554123494e+18,0.0,0.0,0.0,1.725400189721122e+28,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.120883827460949e-99
103.0,18.0,-10.0,1108.1644573282178,11509727.666331396,14.493015382899674,822986.8083509862,4107.03181006947,4.808388620393308e+18,0.0,0.0,0.0,1.9451684249653021e+28,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.120883827460949e-99
104.0,18.0,-10.0,1123.3821234802626,11509712.448665245,15.217666152044659,825294.249441431,4108.194417465923,5.02437894297325e+18,0.0,0.0,0.0,2.1862905408551735e+28,0.0,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785184,1.120883827460949e-99
105.0,18.0,-10.0,1139.3606729399094,11509696.470115785,15.978549459646892,827723.898118653,4109.414753522022,5.261148262058855e+18,0.0,0.0,0.0,2.4513995575364695e+28,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.1208838274609488e-99
