slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1.0,23.000000000000004,-10.0,1e-05,8672816.145764684,1e-05,500542.6553083249,4179.848881863049,7319209982587721.0,0.0,0.0,0.0,2.308186060108864e+18,0.0,0.0,0.0025160005251709974,0.006102550859362314,0.0013255474742222605,0.0
100.0,23.000000000000004,-10.0,1000.0,8671816.145774685,45.125665120885806,837471.0554747513,4467.477763753272,3.3223719089382044e+19,0.0,0.0,0.0,4.728010901297111e+28,0.0,0.0,0.002516000525170997,0.006102550859362312,0.00132554747422226,0.0
101.0,23.000000000000004,-10.0,1054.150798145063,8671761.99497654,54.150798145062964,850246.485317573,4114.229255660358,1.5402499217792682e+19,0.0,0.0,0.0,7.358295030878343e+28,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,9.999989788755813e-100
102.0,23.000000000000004,-10.0,1111.0091361973791,8671705.136638487,56.858338052316114,864372.242425099,4115.175453218874,2.002956567633545e+19,0.0,0.0,0.0,1.094976550425527e+29,0.0,0.0,0.0024889953125840675,0.006083494621983943,0.0012321516160785186,9.999992991966795e-100
103.0,23.000000000000004,-10.0,1170.710391152311,8671645.435383532,59.70125495493192,879609.0734007631,4118.061623294943,2.577598220883121e+19,0.0,0.0,0.0,1.5802709624327445e+29,0.0,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,7.206293581524999e-100
104.0,23.000000000000004,-10.0,1228.7816664059228,8671587.36410828,58.07127525361178,894699.5794641604,4122.308282076148,3.2673110106947502e+19,0.0,0.0,0.0,2.1786253040139085e+29,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785184,7.381499755470559e-100
105.0,23.000000000000004,-10.0,1286.420327891993,8671529.725446792,57.63866148607013,910234.5667240685,4126.451446238787,4.116205128039762e+19,0.0,0.0,0.0,2.9268249582525206e+29,0.0,0.0,0.002488995312584067,0.006083494621983942,0.0012321516160785184,1.001941510312966e-99
106.0,23.000000000000004,-10.0,1346.9409224523665,8671469.204852233,60.52059456037364,927204.4834142425,4129.923238406599,5.238671130515279e+19,0.0,0.0,0.0,3.9266659275259165e+29,0.0,0.0,0.0024889953125840666,0.00608349462198394,0.0012321516160785182,1.0019415103129664e-99
107.0,23.000000000000004,-10.0,1410.487546740759,8671405.658227945,63.546624288392316,945820.5718149715,4134.2277261414265,6.761560603550599e+19,0.0,0.0,0.0,5.281686961713143e+29,0.0,0.0,0.002488995312584067,0.006083494621983943,0.0012321516160785188,1.0019350778415203e-99
108.0,23.000000000000004,-10.0,1471.3449566136057,8671344.80081807,60.85740987284656,964432.9769531105,4136.340337273423,8.665425682000737e+19,0.0,0.0,0.0,6.944754832742431e+29,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0019343520819528e-99
109.0,23.000000000000004,-10.0,1530.958807997734,8671285.186966687,59.6138513841286,983506.9628364524,4140.918071073439,1.1117288792528572e+20,0.0,0.0,0.0,9.034785578486717e+29,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.0019344448706657e-99
110.0,23.000000000000004,-10.0,1589.9554862701552,8671226.190288415,58.996678272421,1003258.4244289428,4143.943594493891,1.4328509121711502e+20,0.0,0.0,0.0,1.1700632277228463e+30,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0019362001441345e-99
111.0,23.000000000000004,-10.0,1648.5919276728175,8671167.553847011,58.6364414026622,1023820.2675377795,4146.802793156623,1.8592838989503162e+20,0.0,0.0,0.0,1.5138743490557542e+30,0.0,0.0,0.002488995312584067,0.006083494621983941,0.0012321516160785182,1.0019358097320491e-99
112.0,23.000000000000004,-10.0,1706.955827811105,8671109.189946873,58.36390013828753,1045282.480841301,4149.918690105126,2.4322746802493322e+20,0.0,0.0,0.0,1.9615500595102385e+30,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.0019352368721882e-99
113.0,23.000000000000004,-10.0,1765.0450438593546,8671051.100730825,58.08921604824966,1067699.5969907679,4152.5609096439275,3.209534436224481e+20,0.0,0.0,0.0,2.5495051598640916e+30,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785182,1.0019353141467414e-99
114.0,23.000000000000004,-10.0,1822.8184060452265,8670993.32736864,57.77336218587175,1091112.659566351,4155.363292491448,4.2734873180151815e+20,0.0,0.0,0.0,3.3281092287486505e+30,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785182,1.0019353895450323e-99
115.0,23.000000000000004,-10.0,1880.2228908204345,8670935.922883864,57.40448477520797,1115571.1845081905,4158.975073327325,5.7424391516494555e+20,0.0,0.0,0.0,4.367667485775994e+30,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.001935463273341e-99
116.0,23.000000000000004,-10.0,1937.1990786258077,8670878.94669606,56.976187805373335,1141116.5956191071,4163.280293341531,7.788824466459921e+20,0.0,0.0,0.0,5.767164290458034e+30,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785184,1.0019374478610715e-99
117.0,23.000000000000004,-10.0,1993.6858369650533,8670822.45993772,56.48675833924547,1168116.750743137,4181.599665638209,1.0734391461068416e+21,0.0,0.0,0.0,7.679352729570733e+30,0.0,0.0,0.002488995312584067,0.00608349462198394,0.0012321516160785184,1.0019391433325705e-99
118.0,23.000000000000004,-10.0,2049.5198972246667,8670766.62587746,55.83406025961336,1196618.0480524157,4210.754640857206,1.5033166346830068e+21,0.0,0.0,0.0,1.032636698980762e+31,0.0,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.0019391531550229e-99
119.0,23.000000000000004,-10.0,2104.4835321515684,8670711.662242534,54.96363492690165,1226380.6575949637,4245.6834976367445,2.1292097733769746e+21,0.0,0.0,0.0,1.4016996960720137e+31,0.0,0.0,0.0024889953125840675,0.006083494621983942,0.0012321516160785188,9.953293191637841e-100
